task_id,fix_mode_attempt_count,status
HumanEval/0,3,pass
HumanEval/1,5,fail
HumanEval/2,0,pass
HumanEval/3,0,pass
HumanEval/4,0,pass
HumanEval/5,0,pass
HumanEval/6,0,pass
HumanEval/7,1,pass
HumanEval/8,0,pass
HumanEval/9,0,pass
HumanEval/10,5,fail
HumanEval/11,0,pass
HumanEval/12,0,pass
HumanEval/13,0,pass
HumanEval/14,0,pass
HumanEval/15,1,pass
HumanEval/16,0,pass
HumanEval/17,4,pass
HumanEval/18,0,pass
HumanEval/19,0,pass
HumanEval/20,0,pass
HumanEval/21,1,pass
HumanEval/22,0,pass
HumanEval/23,0,pass
HumanEval/24,3,pass
HumanEval/25,1,pass
HumanEval/26,0,pass
HumanEval/27,0,pass
HumanEval/28,2,pass
HumanEval/29,0,pass
HumanEval/30,0,pass
HumanEval/31,0,pass
HumanEval/32,5,fail
HumanEval/33,0,pass
HumanEval/34,1,pass
HumanEval/35,0,pass
HumanEval/36,0,pass
HumanEval/37,2,pass
HumanEval/38,5,fail
HumanEval/39,5,fail
HumanEval/40,0,pass
HumanEval/41,2,pass
HumanEval/42,0,pass
HumanEval/43,2,pass
HumanEval/44,0,pass
HumanEval/45,0,pass
HumanEval/46,0,pass
HumanEval/47,5,fail
HumanEval/48,0,pass
HumanEval/49,0,pass
HumanEval/50,5,fail
HumanEval/51,0,pass
HumanEval/52,0,pass
HumanEval/53,0,pass
HumanEval/54,5,fail
HumanEval/55,0,pass
HumanEval/56,0,pass
HumanEval/57,1,pass
HumanEval/58,0,pass
HumanEval/59,0,pass
HumanEval/60,0,pass
HumanEval/61,1,pass
HumanEval/62,0,pass
HumanEval/63,1,pass
HumanEval/64,2,pass
HumanEval/65,2,pass
HumanEval/66,0,pass
HumanEval/67,1,pass
HumanEval/68,0,pass
HumanEval/69,0,pass
HumanEval/70,0,pass
HumanEval/71,0,pass
HumanEval/72,2,pass
HumanEval/73,0,pass
HumanEval/74,0,pass
HumanEval/75,5,fail
HumanEval/76,5,fail
HumanEval/77,0,pass
HumanEval/78,0,pass
HumanEval/79,0,pass
HumanEval/80,0,pass
HumanEval/81,5,fail
HumanEval/82,0,pass
HumanEval/83,0,pass
HumanEval/84,0,pass
HumanEval/85,0,pass
HumanEval/86,5,fail
HumanEval/87,2,pass
HumanEval/88,0,pass
HumanEval/89,0,pass
HumanEval/90,0,pass
HumanEval/91,5,pass
HumanEval/92,0,pass
HumanEval/93,5,fail
HumanEval/94,0,pass
HumanEval/95,0,pass
HumanEval/96,2,pass
HumanEval/97,0,pass
HumanEval/98,0,pass
HumanEval/99,5,fail
HumanEval/100,0,pass
HumanEval/101,1,pass
HumanEval/102,2,pass
HumanEval/103,0,pass
HumanEval/104,0,pass
HumanEval/105,2,pass
HumanEval/106,0,pass
HumanEval/107,0,pass
HumanEval/108,0,pass
HumanEval/109,5,fail
HumanEval/110,0,pass
HumanEval/111,0,pass
HumanEval/112,0,pass
HumanEval/113,5,fail
HumanEval/114,0,pass
HumanEval/115,4,pass
HumanEval/116,5,fail
HumanEval/117,0,pass
HumanEval/118,5,fail
HumanEval/119,0,pass
HumanEval/120,1,pass
HumanEval/121,0,pass
HumanEval/122,0,pass
HumanEval/123,0,pass
HumanEval/124,1,pass
HumanEval/125,0,pass
HumanEval/126,5,fail
HumanEval/127,5,fail
HumanEval/128,0,pass
HumanEval/129,5,fail
HumanEval/130,5,fail
HumanEval/131,0,pass
HumanEval/132,5,fail
HumanEval/133,0,pass
HumanEval/134,5,fail
HumanEval/135,0,pass
HumanEval/136,0,pass
HumanEval/137,1,pass
HumanEval/138,0,pass
HumanEval/139,0,pass
HumanEval/140,0,pass
HumanEval/141,1,pass
HumanEval/142,0,pass
HumanEval/143,0,pass
HumanEval/144,0,pass
HumanEval/145,5,fail
HumanEval/146,0,pass
HumanEval/147,5,fail
HumanEval/148,1,pass
HumanEval/149,2,pass
HumanEval/150,0,pass
HumanEval/151,2,pass
HumanEval/152,0,pass
HumanEval/153,1,pass
HumanEval/154,5,fail
HumanEval/155,0,pass
HumanEval/156,0,pass
HumanEval/157,0,pass
HumanEval/158,0,pass
HumanEval/159,0,pass
HumanEval/160,0,pass
HumanEval/161,0,pass
HumanEval/162,0,pass
HumanEval/163,5,fail
